timestamp,rostro_detectado,herramienta_detectada
2025-05-22T17:05:42.543874,True,
2025-05-22T17:05:43.198198,True,
2025-05-22T17:05:44.013095,True,
2025-05-22T17:05:44.775201,True,
2025-05-22T17:05:47.185908,True,
2025-05-22T17:05:47.542450,True,
2025-05-22T17:05:47.816105,True,
2025-05-22T17:05:48.065397,True,
2025-05-22T17:05:48.310654,True,
2025-05-22T17:05:50.848427,True,
2025-05-22T17:05:51.296981,True,
2025-05-22T17:05:51.434172,True,
2025-05-22T17:05:59.453750,True,
2025-05-22T17:05:59.751093,True,
2025-05-22T17:05:59.945169,True,
2025-05-22T17:06:00.140222,True,
2025-05-22T17:06:01.448717,True,
2025-05-22T17:06:01.644243,True,
2025-05-22T17:06:07.756473,True,
2025-05-22T17:06:07.973230,True,
2025-05-22T17:06:09.703839,True,
2025-05-22T17:06:10.006446,True,
2025-05-22T17:06:10.113047,True,
2025-05-22T17:06:10.495887,True,
2025-05-22T17:06:11.935878,True,
2025-05-22T17:06:12.155260,True,
2025-05-22T17:06:12.372575,True,
2025-05-22T17:06:12.675086,True,
2025-05-22T17:06:12.891752,True,
2025-05-22T17:06:14.175091,True,scissors
2025-05-22T17:06:14.394454,True,
2025-05-22T17:06:14.612260,True,
2025-05-22T17:06:14.828709,True,
2025-05-22T17:06:15.043375,True,
2025-05-22T17:06:16.335201,True,
2025-05-22T17:06:16.646333,True,
2025-05-22T17:06:16.864136,True,
2025-05-22T17:06:17.080486,True,
2025-05-22T17:06:17.297949,True,
2025-05-22T17:06:18.683425,True,scissors
2025-05-22T17:06:19.232766,True,
2025-05-22T17:06:20.763402,True,
2025-05-22T17:06:23.341192,True,
2025-05-22T17:06:23.775173,True,
2025-05-22T17:06:25.062124,True,
2025-05-22T17:06:27.467378,True,
2025-05-22T17:06:27.683861,True,
2025-05-22T17:06:27.899393,True,
2025-05-22T17:06:28.116980,True,
2025-05-22T17:06:29.416812,True,
2025-05-22T17:06:29.851776,True,
2025-05-22T17:06:30.068156,True,
2025-05-22T17:06:31.613192,True,
2025-05-22T17:06:32.264522,True,
2025-05-22T17:06:32.480848,True,
2025-05-22T17:06:33.987477,True,
2025-05-22T17:06:34.204533,True,
2025-05-22T17:06:34.424127,True,
2025-05-22T17:06:34.640620,True,
2025-05-22T17:06:35.943542,True,
2025-05-22T17:06:36.162197,True,
2025-05-22T17:06:36.377897,True,
2025-05-22T17:06:38.108467,True,
timestamp,rostro_detectado,herramienta_detectada
2025-05-22T17:22:18.990509,True,
2025-05-22T17:22:28.578999,True,
2025-05-22T17:22:29.485451,True,
2025-05-22T17:22:31.549750,True,
2025-05-22T17:22:33.563535,True,scissors
2025-05-22T17:22:36.074873,True,
2025-05-22T17:22:36.562289,True,
2025-05-22T17:22:37.987151,True,
2025-05-22T17:22:43.376713,True,
2025-05-22T17:22:44.962008,True,
2025-05-22T17:22:46.454462,True,
2025-05-22T17:22:46.704257,True,
2025-05-22T17:22:50.189840,True,
2025-05-22T17:22:52.129965,True,
2025-05-22T17:22:53.759777,True,
2025-05-22T17:22:54.295591,True,
2025-05-22T17:22:57.803659,True,
2025-05-22T17:22:59.998865,True,
timestamp,rostro_detectado,herramienta_detectada
2025-05-22T17:32:27.222967,True,
2025-05-22T17:32:53.567345,True,
2025-05-22T17:34:40.244135,True,
2025-05-22T17:35:13.694270,True,
2025-05-22T17:35:38.605887,True,
2025-05-22T17:35:46.986469,True,
timestamp,rostro_detectado,herramienta_detectada
2025-05-22T17:37:25.140790,True,
2025-05-22T17:37:46.973470,True,
2025-05-22T17:38:26.367564,True,
timestamp,rostro_detectado,herramienta_detectada
2025-05-22T17:45:47.264070,True,
timestamp,rostro_detectado,herramienta_detectada
2025-05-22T18:01:13.911434,True,
2025-05-22T18:01:24.203323,True,
2025-05-22T18:02:42.804530,True,
2025-05-22T18:02:53.475625,True,
2025-05-22T18:03:02.973526,True,
2025-05-22T18:03:06.538451,True,
2025-05-22T18:03:15.807319,True,
2025-05-22T18:03:21.647629,True,
2025-05-22T18:03:39.161578,True,
2025-05-22T18:03:41.974130,True,
2025-05-22T18:03:47.507480,True,
2025-05-22T18:04:02.932462,True,
2025-05-22T18:04:08.515692,True,
2025-05-22T18:04:15.758335,True,
2025-05-22T18:04:28.481902,True,scissors
2025-05-22T18:04:33.612218,True,scissors
timestamp,rostro_detectado,herramienta_detectada
